Catégorie;Dénomination;Adresse;Code postal;Localité;Téléphone;Courriel;Site web;Statut juridique;Province;Bassin de vie FWB;BCE;Reconnaissance FWB;Catégorie de reconnaissance;Géolocalisation
Maison;Maison d'Erasme et Béguinage;Rue de Formanoir 31;1070.0;Anderlecht;02 521 13 83;info@erasmushouse.museum;http://www.erasmushouse.museum;asbl;Bruxelles-Capitale;Bruxelles;466280285;oui;B;50.836302711, 4.307719805
Musée;Musée de la Médecine ULB;Route de Lennik 808;1070.0;Anderlecht;02 555 34 31;joelle.antoine@erasme.ulb.ac.be;http://www.museemedecine.be;asbl;Bruxelles-Capitale;Bruxelles;433839923;oui;C;50.814181617, 4.266432435
Musée;Musée Armand Pellegrin;Rue du Moulin 15;1357.0;Hélecine;019 65 69 90;musee.pellegrin@skynet.be;http://www.helecine-map.be;asbl;Brabant wallon;Brabant wallon;451317343;oui;C;50.742776199, 4.98244412
Musée;Musée le Grand Curtius;Féronstrée 136;4000.0;Liège;04 221 68 17;infograndcurtius@liege.be;http://www.grandcurtius.be;service public local;Liège;Liège;2162204729;oui;Mise en conformité;50.647466587, 5.584046976
Galerie;Galerie Wittert - Musées de l'ULG - Collections Artistiques;Place du Vingt Août 7-bât. A1;4000.0;Liège;04 366 57 67;wittert@ulg.ac.be;http://www.wittert.ulg.ac.be;entité locale;Liège;Liège;325777171;oui;C;50.640576421, 5.575492246
Musée;Musée des Transports En Commun de Wallonie;Rue Richard-Heintz 9;4020.0;Liège;04 361 94 19;info@musee-transports.be;http://www.musee-transports.be;asbl;Liège;Liège;430823619;oui;B;50.628457571, 5.5830543
Musée;La Boverie, Beaux-Arts Liège;Parce de la Boverie 3;4020.0;Liège;04 221 92 31;info@laboverie.com;http://www.beauxartsliege.be;service public local;Liège;Liège;2162206016;oui;B;50.628120023, 5.577595557
Musée;Maison de la Science;Quai Edouard Van Beneden 22;4020.0;Liège;04 366 50 04;maison.science@uliege.be;http://maisondelascience.uliege.be/;asbl;Liège;Liège;443191812;oui;B;50.638983073838006, 5.578715798262942
Pôle;"Pôle Muséal ""Les Bateliers""";Rue Saintraint 7;5000.0;Namur;081 24 87 20;museeartsdecoratifs@ville.namur.be;http://www.namurtourisme.be/fr/musees-culture-patrimoine/musees/musee-arts-decoratifs;service public local;Namur;Namur;2161837119;oui;Mise en conformité;50.463049809, 4.861022683
Musée;Musée Félicien Rops;Rue Fumal 12;5000.0;Namur;081 77 67 55;info@museerops.be;http://www.museerops.be;service public local;Namur;Namur;2162067345;oui;A;50.463013023, 4.862659307
Centre;Centre d'archéologie, d'Art et d'histoire de Jambes;Place Jean de Flandre 1;5100.0;Jambes;081 32 23 30;info@anhaive.be;http://www.anhaive.be;;Namur;Namur;207362739;oui;D;50.462415, 4.88938275
Musée;Musée de la Fraise;Chaussée de Dinant 1037;5100.0;Wépion;081 46 20 07;info@museedelafraise.eu;http://www.museedelafraise.eu;asbl;Namur;Namur;412746084;oui;C;50.417499835, 4.878642831
Musée;Musée le Bois du Cazier;Rue du Cazier 80;6001.0;Charleroi;071 88 08 56;info@leboisducazier.be;http://www.leboisducazier.be;asbl;Hainaut;Hainaut Sud;432025330;oui;B;50.381179222, 4.44380329
Musée;Musée de la Photographie;Avenue Paul Pastur 11;6032.0;Charleroi;071 43 58 10;mpc.info@museephoto.be;http://www.museephoto.be;asbl;Hainaut;Hainaut Sud;427796427;oui;A;50.388135559, 4.404502509
Musée;Musée Archéologique d'Arlon;Rue des Martyrs 13;6700.0;Arlon;063 21 28 49;musee.archeologique@province.luxembourg.be;http://www.province.luxembourg.be;service public local;Luxembourg;Luxembourg;2331211886;oui;B;49.683840337, 5.810803335
Musée;Musée des Celtes - Fondation Mons 2025;Place Communale 1;6800.0;Libramont-Chevigny;061 22 49 76;info@museedesceltes.be;http://www.museedesceltes.be;asbl;Luxembourg;Luxembourg;882622992;oui;C;49.916286052, 5.376993329
Musée;Musée de la Famenne - Musée Van Den Abeele;Rue du Commerce 17;6900.0;Marche-en-Famenne;084 32 70 60;fam@marche.be;http://www.famenneartmuseum.be;asbl;Luxembourg;Luxembourg;442445803;oui;C;50.227142879, 5.34372112
Musée;Musée Ianchelevici, MiLL;Place communale 21;7100.0;La Louvière;064 28 25 30;info@lemill.be;http://www.lemill.be;;Hainaut;Hainaut Centre;426935701;oui;Mise en conformité B;50.479002556, 4.185948422
