Catégorie;Dénomination;Adresse;Code postal;Localité;Téléphone;Courriel;Site web;Statut juridique;Province;Catégorie de reconnaissance
Maison;Maison d'Erasme et Béguinage;Rue de Formanoir 31;1070.0;Anderlecht;02 521 13 83;info@erasmushouse.museum;http://www.erasmushouse.museum;asbl;Bruxelles-Capitale;B
Musée;Musée de la Médecine ULB;Route de Lennik 808;1070.0;Anderlecht;02 555 34 31;joelle.antoine@erasme.ulb.ac.be;http://www.museemedecine.be;asbl;Bruxelles-Capitale;C
Musée;Musée Armand Pellegrin;Rue du Moulin 15;1357.0;Hélecine;019 65 69 90;musee.pellegrin@skynet.be;http://www.helecine-map.be;asbl;Brabant wallon;C
Musée;Musée le Grand Curtius;Féronstrée 136;4000.0;Liège;04 221 68 17;infograndcurtius@liege.be;http://www.grandcurtius.be;service public local;Liège;Mise en conformité
Galerie;Galerie Wittert - Musées de l'ULG - Collections Artistiques;Place du Vingt Août 7-bât. A1;4000.0;Liège;04 366 57 67;wittert@ulg.ac.be;http://www.wittert.ulg.ac.be;entité locale;Liège;C
Musée;Musée des Transports En Commun de Wallonie;Rue Richard-Heintz 9;4020.0;Liège;04 361 94 19;info@musee-transports.be;http://www.musee-transports.be;asbl;Liège;B
Musée;Maison de la Science;Quai Edouard Van Beneden 22;4020.0;Liège;04 366 50 04;maison.science@uliege.be;http://maisondelascience.uliege.be/;asbl;Liège;B
Pôle;"Pôle Muséal ""Les Bateliers""";Rue Saintraint 7;5000.0;Namur;081 24 87 20;museeartsdecoratifs@ville.namur.be;http://www.namurtourisme.be/fr/musees-culture-patrimoine/musees/musee-arts-decoratifs;service public local;Namur;Mise en conformité
Musée;Musée Félicien Rops;Rue Fumal 12;5000.0;Namur;081 77 67 55;info@museerops.be;http://www.museerops.be;service public local;Namur;A
Centre;Centre d'archéologie d'Art et d'histoire de Jambes;Place Jean de Flandre 1;5100.0;Jambes;081 32 23 30;info@anhaive.be;http://www.anhaive.be;blabla;Namur;D
Musée;Musée de la Fraise;Chaussée de Dinant 1037;5100.0;Wépion;081 46 20 07;info@museedelafraise.eu;http://www.museedelafraise.eu;asbl;Namur;C
Musée;Musée le Bois du Cazier;Rue du Cazier 80;6001.0;Charleroi;071 88 08 56;info@leboisducazier.be;http://www.leboisducazier.be;asbl;Hainaut;B
Musée;Musée de la Photographie;Avenue Paul Pastur 11;6032.0;Charleroi;071 43 58 10;mpc.info@museephoto.be;http://www.museephoto.be;asbl;Hainaut;A
Musée;Musée Archéologique d'Arlon;Rue des Martyrs 13;6700.0;Arlon;063 21 28 49;musee.archeologique@province.luxembourg.be;http://www.province.luxembourg.be;service public local;Luxembourg;B
Musée;Musée des Celtes - Fondation Mons 2025;Place Communale 1;6800.0;Libramont-Chevigny;061 22 49 76;info@museedesceltes.be;http://www.museedesceltes.be;asbl;Luxembourg;C
Musée;Musée de la Famenne - Musée Van Den Abeele;Rue du Commerce 17;6900.0;Marche-en-Famenne;084 32 70 60;fam@marche.be;http://www.famenneartmuseum.be;asbl;Luxembourg;C
Musée;Musée Ianchelevici MiLL;Place communale 21;7100.0;La Louvière;064 28 25 30;info@lemill.be;http://www.lemill.be;blabla;Hainaut;Mise en conformité B
Musée;Keramis Centre de la Céramique de la FWB;Place des Fours Bouteilles 1;7100.0;La Louvière;064 23 60 70;info@keramis.be;http://www.keramis.be;asbl;Hainaut;Mise en conformité A
Musée;Domaine de Seneffe Musée de l'Orfèvrerie;Rue Lucien Plasman 9;7180.0;Seneffe;065 55 89 92;info@chateaudeseneffe.be;http://www.chateaudeseneffe.be;asbl;Hainaut;subvention
Musée;Musée des Arts de la Marionnette;Rue Saint-Martin 47;7500.0;Tournai;069 88 91 40;maisondelamarionnette@skynet.be;http://www.maisondelamarionnette.be;asbl;Hainaut;C
Musée;Musée de la Rubanerie Cominoise;Rue des Arts 3;7780.0;Comines;056 58 77 68;larubanerie@yahoo.fr;http://www.larubanerie.be;asbl;Hainaut;C
Musée;Musée Belge de la Franc-maçonnerie;Rue de Laeken 73;1000.0;Bruxelles;02 223 06 04;info@mbfm.be;http://www.mbfm.be;asbl;Bruxelles-Capitale;C
Musée;Musée Bibliotheca Wittockiana Musée du Livre et de la Reliure;Rue du Bémel 23;1150.0;Woluwe-Saint-Pierre;02 770 53 33;info@wittockiana.org;http://www.wittockiana.org/musee/;asbl;Bruxelles-Capitale;B
Musée;Musée L;Place des Sciences 3-bte L6.07.01;1348.0;Ottignies-LLN;010 47 48 41;info@museel.be;http://www.museel.be;entité locale;Brabant wallon;A
Maison;Maison de la Métallurgie et de l'industrie de Liège;Boulevard Raymond Poincaré 17;4020.0;Liège;04 342 65 63;info@mmil.be;http://www.mmil.ulg.ac.be;service public local;Liège;B
Musée;Musée du Pays Ourthe-Amblève Les Amis du Vieux Stavelot;Place Leblanc 1;4170.0;Comblain-au-Pont;04 369 99 76;musee@comblainaupont.be;http://www.musee-ourthe-ambleve.be;asbl;Liège;C
Musée;Préhistomuseum Musée Préhistosite de Ramioul;Rue de la Grotte 128;4400.0;Flémalle;04 275 49 75;info@prehisto.museum;http://www.prehisto.museum;asbl;Liège;A
Musée;Musée Communaux;Rue Renier 17-19;4800.0;Verviers;087 33 16 95;musee.verviers@verviers.be;http://www.musees.verviers.be;service public local;Liège;C
Musée;Musée du Petit Format;Rue Bassidaine 6;5670.0;Nismes;060 73 01 69;mpf@museedupetitformat.be;http://www.museedupetitformat.be;asbl;Namur;C
Musée;Musée du Verre;Bois du Cazier - Rue du Cazier 80;6001.0;Charleroi;071 58 08 56;mdv@charleroi.be;http://www.charleroi-museum.be/musee-du-verre;service public local;Hainaut;B
Musée;Musée Gaumais;Rue d'Arlon 38-40;6760.0;Virton;063 57 03 15;m.denoncin@museesgaumais.be;http://www.museesgaumais.be;asbl;Luxembourg;B
Musée;MuMons;Place du Parc 24;7000.0;Mons;065 37 22 15;mumons@umons.ac.be;https://mumons.be/;blabla;Hainaut;Mise en conformité C
Musée;Musée Bois du Luc Musée de la Mine et du Développement Durable;Rue Saint-Patrice 2B;7110.0;La Louvière;064 28 20 00;info.boisduluc@gmail.com;http://www.ecomuseeboisduluc.be;asbl;Hainaut;B
Musée;"Musée de Folklore ""Léon Maes""";Rue des Brasseurs 3;7700.0;Mouscron;056 86 04 66;musee.folklore@mouscron.be;http://www.musee-mouscron.be/pages/contacts;service public local;Hainaut;B
Musée;Musée Horta;Rue Américaine 25;1060.0;Saint-Gilles;02 543 04 90;info@hortamuseum.be;http://www.hortanima.be;asbl;Bruxelles-Capitale;A
Musée;La Fonderie Musée Bruxellois de l'industrie et du Travail;Rue Ransfort 27;1080.0;Molenbeek-Saint-Jean;02 410 99 50;reservation@lafonderie.be;http://www.lafonderie.be;asbl;Bruxelles-Capitale;A
Musée;Musée Insectarium Jean Leclercq - Hexapoda-Waremme;Rue de Grand’Axhe 45E;4300.0;Waremme;019 32 49 30;hexapoda@maisondehesbaye.be;http://www.hexapoda.ulg.ac.be;asbl;Liège;C
Musée;Musée de la Ville d'eaux/Histoire et Archéologie spadoise;Avenue Reine Astrid 77B;4900.0;Spa;087 77 44 86;info@spavillaroyale.be;http://www.spavillaroyale.be;asbl;Liège;C
Musée;Musée Nam-Ip - Numerical Artefacts Muséum;Rue Henri Blès 192A;5000.0;Namur;081 34 64 99;info@nam-ip.be;http://www.nam-ip.be;asbl;Namur;Mise en conformité
Musée;Musée Provincial des Arts Anciens du Namurois - Trésor d'Oignies;Hôtel de Gaiffier d'Hestroy - Rue de Fer 24;5000.0;Namur;081 77 67 54;musee.arts.anciens@province.namur.be;http://www.museedesartsanciens.be;asbl;Namur;A
Maison;Maison du Patrimoine Médiéval Mosan;Place du Bailliage 16;5500.0;Dinant;082 23 66 16;info@mpmm.be;http://www.mpmm.be;asbl;Hainaut;B
Musée;Musée du Malgré-Tout;Rue de la Gare 28;5670.0;Treignes;060 39 02 43;secretariat@cedarc-mmt.be;http://www.museedumalgretout.be;asbl;Namur;A
Musée;Musée Écomusée du Viroin;Rue Eugène Defraire 63;5670.0;Treignes;060 39 96 24;info@ecomusee-du-viroin.be;http://www.ecomusee-du-viroin.be;asbl;Namur;B
Musée;Musée International du Carnaval et du Masque;Rue Saint-Moustier 10;7130.0;Binche;03 264 33 57;info@museedumasque.be;http://www.museebinche.be;asbl;Hainaut;B
Musée;Musée des Beaux-Arts de Tournai;Enclos Saint-Martin 3;7500.0;Tournai;069 33 24 31;musee-beaux-arts@tournai.be;http://www.mba.tournai.be;service public local;Hainaut;C
Musée;Musée de l'hôpital Notre-Dame A la Rose;Place Alix de Rosoit;7860.0;Lessines;068 33 24 03;info@notredamealarose.be;http://www.notredamealarose.be;asbl;Hainaut;A
Musée;Musée de la Ville de Bruxelles;Grand-Place;1000.0;Bruxelles;02 279 43 50;musea@brucity.be;http://www.brusselscitymuseum.brussels;service public local;Bruxelles-Capitale;A
Musée;Musée Juif de Belgique;Rue des Minimes 21;1000.0;Bruxelles;02 512 19 63;info@mjb-jmb.org;http://www.mjb-jmb.org;asbl;Bruxelles-Capitale;B
Musée;Musée Marthe Donas;Rue de la Montagne 36;1460.0;Ittre;0471 216 388;info@museemarthedonas.be;http://www.marthedonas.be;service public local;Brabant wallon;D
Musée;Aquarium Muséum de l'Université de Liège;Quai Edouard Van Beneden 22;4020.0;Liège;04 366 50 21;aquarium@uliege.be;http://aquarium-museum.uliege.be/;entité locale;Liège;A
Musée;Musée Communal de Herstal;Place de la Licourt 45;4040.0;Herstal;04 256 87 90;musee@herstal.be;http://www.herstal.be/ma-ville/services-communaux/musee;service public local;Liège;C
Musée;Centre d’interprétation de la pierre;Rue Joseph Potier 54;4140.0;Sprimont;04 382 21 95;cip@sprimont.be;https://cip-sprimont.be/;asbl;Liège;Création
Musée;Musée d'archéologie de Godinne;La Vieille Ferme – Rue du Prieuré 1A;5530.0;Godinne;0498 371 745;lavieilleferme@tvcablenet.be;http://www.yvoir.be;asbl;Namur;D
