Dénomination du lieu;Catégorie;Province;Adresse ;Code postal;Ville;Site Web;Organisateur/exploitant;Géolocalisation
Ciné-Club des Libertés;ciné-club;Bruxelles-Capitale;Avenue de Stalingrad 18-20;1000;Bruxelles;http://www.bxllaique.be/;Bruxelles Laïque asbl;50.84200276249969, 4.345189526217809
Cinéma l'Ecran;cinéma;Hainaut;Rue du gouvernement 1;7800;Ath;https://www.mcath.be/cinema.html;La Maison Culturelle d'Ath;50.63157871477064, 3.777096828697191
Ciné4 Nivelles;cinéma;Brabant wallon;Rue de Soignies 4;1400;Nivelles;https://www.cine4.be/;Centre culturel de Nivelles;50.597658895857435, 4.321783997739975
Cinéma Palace;cinéma;Bruxelles-Capitale;Boulevard Anspach 85;1000;Bruxelles;https://www.cinema-palace.be/fr;Cinéma Palace;50.84790548541812, 4.3487578423316995
Ciné-club Nickelodéon;ciné-club;Liège;Place du XX août 7;4000;Liège;https://www.facebook.com/ncklULG/;Université de Liège;50.6412367547467, 5.576022213487782
Ciné Bocage;ciné-club;Liège;Place de l'Hôtel de Ville 18;4650;Herve;https://www.chac.be/cinema;Centre Hervien d'Animation Culturelle;50.64004929101001, 5.7941544686074336
Foyer Culturel de Jupille-Wandre;centre culturel;Liège;Rue Chafnay 2;4020;Jupille;http://www.jupiculture.be/;Foyer Culturel de Jupille-Wandre;50.64537499460793, 5.63450234062596
Ciné Patria;cinéma;Luxembourg;Rue des Fossés 20;6760;Virton;https://www.cinepatria.be/ws/les-salles/nos-loisirs.html;Ciné Patria;49.568126349819885, 5.533820352533899
Ciné Espace;cinéma;Luxembourg;Rue de Diekirch 36;6700;Arlon;http://www.cine-espace.be/;Ciné Espace;49.68532083704676, 5.8135696811843065
Centre culturel de Braine-L'Alleud;ciné-club;Brabant wallon;Rue Jules Hans 4;1420;Braine-l'Alleud;https://www.braineculture.be/;Centre culturel de Braine-L'Alleud;50.683880197981004, 4.372345069546699
Kinepolis Bruxelles;cinéma;Bruxelles-Capitale;Boulevard du Centenaire 20;1020;Laeken;https://kinepolis.be/fr/;Kinepolis Mega;50.895723319338806, 4.337863840482362
Foyer socioculturel d'Antoing;centre culturel;Hainaut;Rue du Burg 23;7640;Antoing;https://www.foyerculturelantoing.be/;Foyer socioculturel d'Antoing;50.5662473757327, 3.4483654846489826
Palace Liège;cinéma;Liège;Rue pont d'Avroy 21;4000;Liège;https://kinepolis.be/fr/cinemas/palace-liege?main-section=presales;Kinepolis Liège;50.64057013239369, 5.570160639421241
Cinéma Nova;cinéma;Bruxelles-Capitale;Rue d’Arenberg 3;1000;Bruxelles;https://www.nova-cinema.org/;Nova asbl;50.84837298349648, 4.356034235459962
Quai 10;cinéma;Hainaut;Quai Arthur Rimbaud 10;6000;Charleroi;https://www.quai10.be/;Quai 10;50.40647563451659, 4.4411572327537305
Quai 10 Côté Parc;cinéma;Hainaut;Rue de Montigny 58;6000;Charleroi;https://www.quai10.be/;Quai 10;50.40809258199072, 4.446196611627557
Ciné Versailles;cinéma;Liège;Rue Hottonruy 3;4970;Stavelot;https://www.cineversailles.be/;Ciné Versailles;50.3929037097336, 5.929354670297358
Centre culturel de Frameries;centre culturel;Liège;Chemin de l'Etang 2;7080;Frameries;https://www.ccframeries.be/;Centre culturel de Frameries;50.39039648262114, 3.8884681981345643
Ciné-monde;ciné-club;Luxembourg;Rue du Centre 17;6791;Aubange;https://www.ccathus.be/;Centre Culturel de la Ville d'Aubange;49.56324403813994, 5.836400628789882
Les Toiles Quiévrainoises en plein air;ciné-club;Hainaut;Rue de la Gare 1B;7380;Quiévrain;https://www.facebook.com/quievrain/events;Commune de Quiévrain;50.40788383902607, 3.684324070426373
Le cercle du Laveu;ciné-club;Liège;Rue des Wallons 45;4000;Liège;https://cercledulaveu.be/;Le cercle du Laveu;50.63080624377421, 5.558640344301641
White Cinéma Docks;cinéma;Bruxelles-Capitale;Boulevard Lambermont 1;1030;Schaerbeek;https://white-cinema.be/;White Cinema;50.87953799812945, 4.37294209815352
Cinéma Stuart;cinéma;Hainaut;Rue Sylvain Guyaux 16;7100;La Louvière;https://www.cinemastuart.be/;Cinémas Stuart;50.475338122395534, 4.186176726973699
Kinograph;cinéma;Bruxelles-Capitale;Place Sainte-Croix;1050;Ixelles;https://kinograph.brussels/;Cinecité scrl;50.826892112577454, 4.372603382018314
Centre culturel d'Uccle;centre culturel;Bruxelles-Capitale;Rue Rouge 47;1180;Uccle;https://www.ccu.be/;Centre culturel d'Uccle;50.80115733472831, 4.342083178868302
Les ciné-débats Maison de la Laïcité de Pont-à-Celles;ciné-club;Hainaut;Rue de l'Eglise 7;6230;Pont-à-Celles;https://cal-charleroi.be/cine-debats/;Centre d'Action Laïque Charleroi;50.51159869282078, 4.3628657559465065
Les ciné-débats Maison Communautaire de Strée;ciné-club;Hainaut;Rue Mestriaux 74;6511;Strée;https://cal-charleroi.be/cine-debats/;Centre d'Action Laïque Charleroi;50.27284723691047, 4.275539811764091
Cinéma des résistances;ciné-club;Hainaut;Place Albert 1er 16A;7140;Morlanwelz;https://fdml.be/index.php/Morlanwelz;Maison de la laïcité de Morlanwez;50.45724792133306, 4.246504684780194
Ciné-Moustier;centre culturel;Namur;Rue de la Fabrique 4C;5190;Moustier-sur-Sambre;https://www.ccgb.be/;Centre culturel Gabrielle Bernard;50.457681711403865, 4.692484208570252
CCN Nivelles Ciné-Club en ligne;centre culturel;Brabant wallon;Place Albert 1er;1400;Nivelles;https://www.centrecultureldenivelles.be/agenda/category/cc-nivelles/cinema-cc-nivelles/;Centre culturel de Nivelles;50.59801677865419, 4.322475346601893
Cinema RITCS;cinéma;Bruxelles-Capitale;Rue Antoine Dansaert 70;1000;Bruxelles;https://www.cinemaritcs.be/;Royal Institute for Theatre Cinema & Sound;50.8504675650246, 4.345850568524947
Cinéscope Louvain-La-Neuve;cinéma;Brabant wallon;Grand Place 55;1348;Louvain-la-Neuve;https://www.pathe.be/fr/cinemas/cinema-cinescope-louvain-la-neuve?utm_source=GBP-LLN;Pathé Belgique;50.669147467494525, 4.6114183679464995
Kino Corso;cinéma;Liège;Bahnhofstraße 14;4780;Saint Vith;https://www.kinocorso.be/;Kino Corso;50.280082725477136, 6.129687155004683
Ciné-club de Spa-Jalhay-Stoumont;ciné-club;Liège;Rue Servais 8;4900;Spa;http://ccspa-jalhay-stoumont.be/;Centre culturel Spa-Jalhay-Stoumont;50.49150850704204, 5.865947639673501
Ciné-Dour;cinéma;Hainaut;Rèsidence Christina Lodges 20;7030;Dour;;Ciné-Dour;50.4344718163656, 3.9958024108357004
Ciné-club initérant;ciné-club;Liège;Avenue du Chêne 206;4800;Verviers;https://loupioteasbl.wordpress.com/;Loupiote asbl;50.569402529482545, 5.868327424336271
Cinematek;cinéma;Bruxelles-Capitale;Rue Baron Horta 9;1000;Bruxelles;https://cinematek.be/;Cinematek;50.84419224788813, 4.3601416779227735
Movie Drive (cinéma d'été);ciné-club;Bruxelles-Capitale;Parking Tour & Taxis;1000;Bruxelles;https://moviedrive.be/;Movie Drive et la Ville de Bruxelles;50.864786635112, 4.3486229577493605
